dimension,frequency,pct
mri_emb_110,50,1.0
mri_emb_123,50,1.0
mri_emb_13,50,1.0
mri_emb_134,50,1.0
mri_emb_137,50,1.0
mri_emb_148,50,1.0
mri_emb_163,50,1.0
mri_emb_177,50,1.0
mri_emb_196,50,1.0
mri_emb_20,50,1.0
mri_emb_217,50,1.0
mri_emb_288,50,1.0
mri_emb_306,50,1.0
mri_emb_32,50,1.0
mri_emb_332,50,1.0
mri_emb_339,50,1.0
mri_emb_345,50,1.0
mri_emb_353,50,1.0
mri_emb_36,50,1.0
mri_emb_413,50,1.0
mri_emb_422,50,1.0
mri_emb_438,50,1.0
mri_emb_440,50,1.0
mri_emb_466,50,1.0
mri_emb_468,50,1.0
mri_emb_483,50,1.0
mri_emb_618,50,1.0
mri_emb_85,50,1.0
mri_emb_133,49,0.98
mri_emb_199,49,0.98
mri_emb_264,49,0.98
mri_emb_27,49,0.98
mri_emb_318,49,0.98
mri_emb_319,49,0.98
mri_emb_375,49,0.98
mri_emb_417,49,0.98
mri_emb_486,49,0.98
mri_emb_493,49,0.98
mri_emb_73,49,0.98
mri_emb_8,49,0.98
mri_emb_803,49,0.98
mri_emb_114,48,0.96
mri_emb_338,48,0.96
mri_emb_352,48,0.96
mri_emb_427,48,0.96
mri_emb_447,48,0.96
mri_emb_495,48,0.96
mri_emb_5,48,0.96
mri_emb_922,48,0.96
mri_emb_94,48,0.96
mri_emb_983,48,0.96
mri_emb_109,47,0.94
mri_emb_188,47,0.94
mri_emb_23,47,0.94
mri_emb_247,47,0.94
mri_emb_284,47,0.94
mri_emb_398,47,0.94
mri_emb_488,47,0.94
mri_emb_561,47,0.94
mri_emb_105,46,0.92
mri_emb_122,46,0.92
mri_emb_237,46,0.92
mri_emb_273,46,0.92
mri_emb_287,46,0.92
mri_emb_81,46,0.92
mri_emb_999,46,0.92
mri_emb_124,45,0.9
mri_emb_378,45,0.9
mri_emb_594,45,0.9
mri_emb_99,45,0.9
mri_emb_140,44,0.88
mri_emb_162,44,0.88
mri_emb_173,44,0.88
mri_emb_290,44,0.88
mri_emb_317,44,0.88
mri_emb_405,44,0.88
mri_emb_424,44,0.88
