baseline,protocol,split_id,accuracy,balanced_accuracy,sensitivity,specificity,precision_yes,F1_yes,F1_no,Macro_F1,MCC,Brier,ROC_AUC,PR_AUC,tp,fp,tn,fn
always_yes,mccv,0,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,1,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,2,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,3,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,4,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,5,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,6,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,7,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,8,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,9,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,10,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,11,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,12,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,13,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,14,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,15,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,16,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,17,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,18,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
