n_epochs,lr,sigma_mult,optimizer,weight_decay,macro_f1_mean,macro_f1_std
300,0.03,1.0,adam,0.0,0.5387,0.0106
300,0.03,1.0,adamw,0.0,0.5387,0.0106
300,0.03,1.0,adamw,0.0001,0.5387,0.0106
300,0.03,1.0,adamw,0.001,0.5387,0.0106
150,0.03,1.0,adam,0.0,0.5384,0.0039
150,0.03,1.0,adamw,0.0,0.5384,0.0039
150,0.03,1.0,adamw,0.0001,0.5384,0.0039
150,0.03,1.0,adamw,0.001,0.5384,0.0039
600,0.003,0.5,adamw,0.001,0.5384,0.0077
150,0.03,1.5,adam,0.0,0.5355,0.0066
150,0.03,1.5,adamw,0.0,0.5355,0.0066
150,0.03,1.5,adamw,0.0001,0.5355,0.0066
150,0.03,1.5,adamw,0.001,0.5355,0.0066
600,0.003,0.5,adam,0.0,0.5355,0.0066
600,0.003,0.5,adamw,0.0,0.5355,0.0066
600,0.003,0.5,adamw,0.0001,0.5355,0.0066
600,0.03,2.0,adam,0.0,0.5333,0.0122
600,0.03,2.0,adamw,0.0,0.5333,0.0122
600,0.03,2.0,adamw,0.0001,0.5333,0.0122
600,0.03,2.0,adamw,0.001,0.5333,0.0122
300,0.03,0.5,adam,0.0,0.5314,0.0208
300,0.03,0.5,adamw,0.0,0.5314,0.0208
300,0.03,0.5,adamw,0.0001,0.5314,0.0208
300,0.03,0.5,adamw,0.001,0.5314,0.0208
150,0.03,0.5,adam,0.0,0.5298,0.0084
150,0.03,0.5,adamw,0.0,0.5298,0.0084
150,0.03,0.5,adamw,0.0001,0.5298,0.0084
150,0.03,0.5,adamw,0.001,0.5298,0.0084
300,0.01,2.0,adam,0.0,0.528,0.0296
300,0.01,2.0,adamw,0.0,0.528,0.0296
300,0.01,2.0,adamw,0.0001,0.528,0.0296
300,0.01,2.0,adamw,0.001,0.528,0.0296
300,0.03,1.5,adam,0.0,0.5271,0.0122
300,0.03,1.5,adamw,0.0,0.5271,0.0122
300,0.03,1.5,adamw,0.0001,0.5271,0.0122
300,0.03,1.5,adamw,0.001,0.5271,0.0122
300,0.03,2.0,adam,0.0,0.5271,0.0122
300,0.03,2.0,adamw,0.0,0.5271,0.0122
300,0.03,2.0,adamw,0.0001,0.5271,0.0122
300,0.03,2.0,adamw,0.001,0.5271,0.0122
600,0.03,1.5,adam,0.0,0.5252,0.0121
600,0.03,1.5,adamw,0.0,0.5252,0.0121
600,0.03,1.5,adamw,0.0001,0.5252,0.0121
600,0.03,1.5,adamw,0.001,0.5252,0.0121
600,0.01,0.5,adam,0.0,0.5239,0.0084
600,0.01,0.5,adamw,0.0,0.5239,0.0084
600,0.01,0.5,adamw,0.0001,0.5239,0.0084
600,0.01,0.5,adamw,0.001,0.5239,0.0084
300,0.003,1.0,adam,0.0,0.5232,0.0344
300,0.003,1.0,adamw,0.0,0.5232,0.0344
300,0.003,1.0,adamw,0.0001,0.5232,0.0344
300,0.003,1.0,adamw,0.001,0.5232,0.0344
600,0.03,1.0,adam,0.0,0.5226,0.0146
600,0.03,1.0,adamw,0.0,0.5226,0.0146
600,0.03,1.0,adamw,0.0001,0.5226,0.0146
600,0.03,1.0,adamw,0.001,0.5226,0.0146
600,0.003,1.5,adam,0.0,0.4951,0.0133
600,0.003,1.5,adamw,0.0,0.4951,0.0133
600,0.003,1.5,adamw,0.0001,0.4951,0.0133
600,0.003,1.5,adamw,0.001,0.4927,0.0118
150,0.003,1.0,adamw,0.0001,0.4855,0.0187
150,0.003,1.0,adamw,0.001,0.4855,0.0187
150,0.003,1.0,adam,0.0,0.4775,0.0295
150,0.003,1.0,adamw,0.0,0.4775,0.0295
150,0.01,1.5,adam,0.0,0.4491,0.0051
150,0.01,1.5,adamw,0.0,0.4491,0.0051
150,0.01,1.5,adamw,0.0001,0.4491,0.0051
150,0.01,1.5,adamw,0.001,0.4491,0.0051
150,0.01,2.0,adam,0.0,0.4158,0.0133
150,0.01,2.0,adamw,0.0,0.4158,0.0133
150,0.01,2.0,adamw,0.0001,0.4158,0.0133
150,0.01,2.0,adamw,0.001,0.4158,0.0133
150,0.003,1.5,adam,0.0,0.4141,0.0146
150,0.003,1.5,adamw,0.0,0.4141,0.0146
150,0.003,1.5,adamw,0.0001,0.4141,0.0146
150,0.003,1.5,adamw,0.001,0.4141,0.0146
300,0.003,1.5,adam,0.0,0.4141,0.0146
300,0.003,1.5,adamw,0.0,0.4141,0.0146
300,0.003,1.5,adamw,0.0001,0.4141,0.0146
300,0.003,1.5,adamw,0.001,0.4141,0.0146
600,0.003,2.0,adam,0.0,0.4141,0.0146
600,0.003,2.0,adamw,0.0,0.4141,0.0146
600,0.003,2.0,adamw,0.0001,0.4141,0.0146
600,0.003,2.0,adamw,0.001,0.4141,0.0146
300,0.003,2.0,adam,0.0,0.3866,0.014
300,0.003,2.0,adamw,0.0,0.3866,0.014
300,0.003,2.0,adamw,0.0001,0.3866,0.014
300,0.003,2.0,adamw,0.001,0.3866,0.014
150,0.003,2.0,adam,0.0,0.3767,0.0
150,0.003,2.0,adamw,0.0,0.3767,0.0
150,0.003,2.0,adamw,0.0001,0.3767,0.0
150,0.003,2.0,adamw,0.001,0.3767,0.0
