n_epochs,lr,sigma_mult,optimizer,weight_decay,macro_f1_mean,macro_f1_std
300,0.01,1.5,adam,0.0,0.5817,0.0243
300,0.01,1.5,adamw,0.0,0.5817,0.0243
300,0.01,1.5,adamw,0.0001,0.5817,0.0243
300,0.01,1.5,adamw,0.001,0.5817,0.0243
300,0.01,1.0,adam,0.0,0.5797,0.0283
300,0.01,1.0,adamw,0.0,0.5797,0.0283
300,0.01,1.0,adamw,0.0001,0.5797,0.0283
300,0.01,1.0,adamw,0.001,0.5797,0.0283
150,0.003,0.5,adam,0.0,0.5788,0.0284
150,0.003,0.5,adamw,0.0,0.5788,0.0284
150,0.003,0.5,adamw,0.0001,0.5788,0.0284
150,0.003,0.5,adamw,0.001,0.5788,0.0284
600,0.003,1.0,adam,0.0,0.576,0.0187
600,0.003,1.0,adamw,0.0,0.576,0.0187
600,0.003,1.0,adamw,0.0001,0.576,0.0187
600,0.003,1.0,adamw,0.001,0.576,0.0187
300,0.003,0.5,adam,0.0,0.5736,0.0291
300,0.003,0.5,adamw,0.0,0.5736,0.0291
300,0.003,0.5,adamw,0.0001,0.5736,0.0291
300,0.003,0.5,adamw,0.001,0.5736,0.0291
150,0.01,1.0,adam,0.0,0.569,0.0433
150,0.01,1.0,adamw,0.0,0.569,0.0433
150,0.01,1.0,adamw,0.0001,0.569,0.0433
150,0.01,1.0,adamw,0.001,0.569,0.0433
300,0.01,0.5,adam,0.0,0.5582,0.0082
300,0.01,0.5,adamw,0.0,0.5582,0.0082
300,0.01,0.5,adamw,0.0001,0.5582,0.0082
300,0.01,0.5,adamw,0.001,0.5582,0.0082
150,0.03,2.0,adamw,0.0001,0.5543,0.0148
150,0.03,2.0,adamw,0.001,0.5543,0.0148
150,0.03,2.0,adam,0.0,0.5514,0.0172
150,0.03,2.0,adamw,0.0,0.5514,0.0172
150,0.01,0.5,adam,0.0,0.5513,0.0105
150,0.01,0.5,adamw,0.0,0.5513,0.0105
150,0.01,0.5,adamw,0.0001,0.5513,0.0105
150,0.01,0.5,adamw,0.001,0.5513,0.0105
600,0.01,1.0,adam,0.0,0.5496,0.0041
600,0.01,1.0,adamw,0.0,0.5496,0.0041
600,0.01,1.0,adamw,0.0001,0.5496,0.0041
600,0.01,1.0,adamw,0.001,0.5496,0.0041
600,0.01,1.5,adam,0.0,0.5496,0.0041
600,0.01,1.5,adamw,0.0,0.5496,0.0041
600,0.01,1.5,adamw,0.0001,0.5496,0.0041
600,0.01,1.5,adamw,0.001,0.5496,0.0041
600,0.01,2.0,adam,0.0,0.5496,0.0041
600,0.01,2.0,adamw,0.0,0.5496,0.0041
600,0.01,2.0,adamw,0.0001,0.5496,0.0041
600,0.01,2.0,adamw,0.001,0.5496,0.0041
600,0.03,0.5,adam,0.0,0.5414,0.0124
600,0.03,0.5,adamw,0.0,0.5414,0.0124
600,0.03,0.5,adamw,0.0001,0.5414,0.0124
600,0.03,0.5,adamw,0.001,0.5414,0.0124
