rep,sigma,sigma_mult,mean_macro_f1,std_macro_f1,arm
"(500, 0.9)",0.293158305228481,0.22800046996468826,0.6403209982437906,0.11189262437572116,hard
"(2000, 0.9)",0.42070432645559014,0.3215249968664057,0.6184667582015407,0.11957485209316712,hard
"(None, 0.9)",0.42070432645559014,0.3215249968664057,0.6184667582015407,0.11957485209316712,hard
"(500, 0.9)",0.2609657038533896,0.202963047821092,0.6418732500947302,0.10666804805884053,soft
"(2000, 0.9)",0.3688201164180011,0.28187227779337587,0.6380592628386106,0.11486528304082137,soft
"(None, 0.9)",0.3688201164180011,0.28187227779337587,0.6380592628386106,0.11486528304082137,soft
