cfg_id,representation,k,weights,metric,mean_macro_f1,std_macro_f1,mean_acc,mean_sens,mean_spec
68,embedkit_unsup,3,uniform,euclidean,0.5422328321212896,0.11299042928892321,0.5877777777777777,0.72,0.38
69,embedkit_unsup,3,uniform,cosine,0.5422328321212896,0.11299042928892321,0.5877777777777777,0.72,0.38
101,embedkit_sup,3,uniform,cosine,0.5418650607622139,0.11293131218080302,0.5877777777777777,0.7209090909090909,0.37857142857142856
100,embedkit_sup,3,uniform,euclidean,0.5418650607622139,0.11293131218080302,0.5877777777777777,0.7209090909090909,0.37857142857142856
34,pca,1,distance,euclidean,0.5367422892225457,0.09824650714950595,0.5594444444444445,0.6172727272727272,0.46857142857142847
32,pca,1,uniform,euclidean,0.5367422892225457,0.09824650714950595,0.5594444444444445,0.6172727272727272,0.46857142857142847
65,embedkit_unsup,1,uniform,cosine,0.5350234263642463,0.10492963251564683,0.5738888888888889,0.6890909090909091,0.3928571428571429
66,embedkit_unsup,1,distance,euclidean,0.5350234263642463,0.10492963251564683,0.5738888888888889,0.6890909090909091,0.3928571428571429
67,embedkit_unsup,1,distance,cosine,0.5350234263642463,0.10492963251564683,0.5738888888888889,0.6890909090909091,0.3928571428571429
64,embedkit_unsup,1,uniform,euclidean,0.5350234263642463,0.10492963251564683,0.5738888888888889,0.6890909090909091,0.3928571428571429
96,embedkit_sup,1,uniform,euclidean,0.5341916081824281,0.10454204755678727,0.5733333333333333,0.6890909090909091,0.39142857142857146
97,embedkit_sup,1,uniform,cosine,0.5341916081824281,0.10454204755678727,0.5733333333333333,0.6890909090909091,0.39142857142857146
98,embedkit_sup,1,distance,euclidean,0.5341916081824281,0.10454204755678727,0.5733333333333333,0.6890909090909091,0.39142857142857146
99,embedkit_sup,1,distance,cosine,0.5341916081824281,0.10454204755678727,0.5733333333333333,0.6890909090909091,0.39142857142857146
70,embedkit_unsup,3,distance,euclidean,0.5332388002272576,0.11664852071739407,0.5772222222222222,0.7036363636363637,0.3785714285714286
102,embedkit_sup,3,distance,euclidean,0.533024753404515,0.1165454123007806,0.5772222222222222,0.7045454545454547,0.37714285714285717
3,raw,1,distance,cosine,0.530345099362531,0.09688171741120066,0.5733333333333335,0.701818181818182,0.3714285714285714
1,raw,1,uniform,cosine,0.530345099362531,0.09688171741120066,0.5733333333333335,0.701818181818182,0.3714285714285714
37,pca,3,uniform,cosine,0.5131384724261793,0.10058335546758804,0.5705555555555555,0.73,0.31999999999999995
45,pca,7,uniform,cosine,0.5063273276240667,0.11544181792791244,0.576111111111111,0.7618181818181817,0.28428571428571425
49,pca,9,uniform,cosine,0.5060338341234526,0.10561695906815743,0.5833333333333334,0.7863636363636364,0.26428571428571423
41,pca,5,uniform,cosine,0.4988096500659094,0.1081166989322847,0.5644444444444445,0.739090909090909,0.2899999999999999
71,embedkit_unsup,3,distance,cosine,0.4973208704478592,0.11136956859323746,0.5483333333333333,0.6909090909090909,0.32428571428571423
0,raw,1,uniform,euclidean,0.497320432991277,0.10317435801106045,0.5305555555555557,0.6272727272727273,0.3785714285714286
2,raw,1,distance,euclidean,0.497320432991277,0.10317435801106045,0.5305555555555557,0.6272727272727273,0.3785714285714286
36,pca,3,uniform,euclidean,0.4964833857243199,0.1139625870524277,0.5472222222222223,0.6872727272727274,0.3271428571428572
103,embedkit_sup,3,distance,cosine,0.4963208704478592,0.11089103908585013,0.5477777777777778,0.6918181818181819,0.3214285714285714
13,raw,7,uniform,cosine,0.49607969405795493,0.09764284467024172,0.5733333333333334,0.7754545454545455,0.25571428571428567
33,pca,1,uniform,cosine,0.49566811859488547,0.10813478233717753,0.5288888888888889,0.6209090909090909,0.3842857142857143
35,pca,1,distance,cosine,0.49566811859488547,0.10813478233717753,0.5288888888888889,0.6209090909090909,0.3842857142857143
38,pca,3,distance,euclidean,0.4938344505686005,0.10985169324670872,0.5377777777777778,0.6590909090909091,0.34714285714285714
50,pca,9,distance,euclidean,0.49223931441705054,0.10487848055415348,0.5672222222222222,0.7618181818181818,0.26142857142857134
15,raw,7,distance,cosine,0.49188299010656666,0.11387631240465894,0.565,0.7563636363636363,0.26428571428571423
39,pca,3,distance,cosine,0.4902601157293074,0.10245977373256619,0.5394444444444445,0.6727272727272725,0.3299999999999999
44,pca,7,uniform,euclidean,0.4869396281254976,0.10279869913403503,0.558888888888889,0.7481818181818182,0.2614285714285714
48,pca,9,uniform,euclidean,0.486288975209365,0.10216855338860982,0.5633333333333332,0.7627272727272729,0.24999999999999997
46,pca,7,distance,euclidean,0.4853829282227721,0.10240445588044299,0.5527777777777778,0.731818181818182,0.2714285714285714
17,raw,9,uniform,cosine,0.4841941444640095,0.09057859332389248,0.5711111111111111,0.7890909090909092,0.2285714285714285
20,raw,11,uniform,euclidean,0.48401271210068214,0.10665783934402588,0.5822222222222222,0.8227272727272728,0.2042857142857142
53,pca,11,uniform,cosine,0.4839600774177235,0.10568322658945219,0.5800000000000001,0.8136363636363637,0.2128571428571428
51,pca,9,distance,cosine,0.48294268589969575,0.09882431267252773,0.5588888888888889,0.7536363636363635,0.25285714285714284
9,raw,5,uniform,cosine,0.48268592434098556,0.10735695637400021,0.5555555555555555,0.7454545454545454,0.25714285714285706
19,raw,9,distance,cosine,0.4817549340492369,0.09546142414284044,0.5616666666666666,0.7681818181818183,0.23714285714285707
12,raw,7,uniform,euclidean,0.4815638146211611,0.10664496159933541,0.5677777777777777,0.7818181818181819,0.2314285714285714
11,raw,5,distance,cosine,0.48142497226346687,0.10868418695362109,0.5516666666666666,0.7345454545454547,0.26428571428571423
14,raw,7,distance,euclidean,0.48063055752620976,0.10356589515271064,0.5622222222222222,0.7663636363636364,0.24142857142857138
16,raw,9,uniform,euclidean,0.479867889933932,0.09516159407573668,0.5694444444444444,0.7936363636363636,0.21714285714285708
55,pca,11,distance,cosine,0.4784298456651904,0.10577274955985132,0.5644444444444445,0.7781818181818183,0.2285714285714285
22,raw,11,distance,euclidean,0.4780262815700598,0.10101443442633565,0.5766666666666667,0.8163636363636365,0.1999999999999999
47,pca,7,distance,cosine,0.47703268630408885,0.09801888332610616,0.543888888888889,0.7209090909090909,0.2657142857142857
18,raw,9,distance,euclidean,0.47652407934255764,0.09889796316612834,0.5627777777777778,0.7790909090909092,0.22285714285714278
84,embedkit_unsup,11,uniform,euclidean,0.4719510715005468,0.09956705712881764,0.5711111111111111,0.8099999999999998,0.19571428571428565
116,embedkit_sup,11,uniform,euclidean,0.4719510715005468,0.09956705712881764,0.5711111111111111,0.8099999999999998,0.19571428571428565
85,embedkit_unsup,11,uniform,cosine,0.4719510715005468,0.09956705712881764,0.5711111111111111,0.8099999999999998,0.19571428571428565
117,embedkit_sup,11,uniform,cosine,0.4719510715005468,0.09956705712881764,0.5711111111111111,0.8099999999999998,0.19571428571428565
43,pca,5,distance,cosine,0.47193788005114923,0.10598106110370076,0.5372222222222223,0.7054545454545456,0.2728571428571428
42,pca,5,distance,euclidean,0.4718478597481996,0.1090706851914624,0.5288888888888889,0.6845454545454547,0.28428571428571425
54,pca,11,distance,euclidean,0.470371939562083,0.10369667998160374,0.5577777777777778,0.7745454545454545,0.21714285714285705
52,pca,11,uniform,euclidean,0.469114439894239,0.09687951809561131,0.5633333333333334,0.7936363636363636,0.20142857142857135
122,embedkit_sup,15,distance,euclidean,0.46789794117815114,0.09469184546221943,0.585,0.8536363636363637,0.1628571428571428
118,embedkit_sup,11,distance,euclidean,0.4668652763653139,0.09759322791180416,0.5655555555555556,0.8018181818181818,0.19428571428571423
90,embedkit_unsup,15,distance,euclidean,0.4665133257935357,0.09398471619330749,0.5838888888888889,0.8527272727272728,0.1614285714285714
86,embedkit_unsup,11,distance,euclidean,0.4664470945471322,0.09736047954358841,0.565,0.8009090909090909,0.19428571428571423
21,raw,11,uniform,cosine,0.46522405113765686,0.10671968278838319,0.5672222222222222,0.8099999999999998,0.1857142857142856
59,pca,15,distance,cosine,0.4649473402328364,0.09651578043498886,0.5661111111111111,0.8072727272727274,0.18714285714285708
120,embedkit_sup,15,uniform,euclidean,0.4638921499623149,0.10312161861599856,0.5822222222222223,0.850909090909091,0.15999999999999998
121,embedkit_sup,15,uniform,cosine,0.4638921499623149,0.10312161861599856,0.5822222222222223,0.850909090909091,0.15999999999999998
88,embedkit_unsup,15,uniform,euclidean,0.46264214996231495,0.10343348636147409,0.5811111111111111,0.85,0.15857142857142856
89,embedkit_unsup,15,uniform,cosine,0.46264214996231495,0.10343348636147409,0.5811111111111111,0.85,0.15857142857142856
40,pca,5,uniform,euclidean,0.45963049095387926,0.10705390068570748,0.5311111111111111,0.72,0.23428571428571424
58,pca,15,distance,euclidean,0.45805185842438567,0.10524363619983519,0.5711111111111111,0.828181818181818,0.1671428571428571
23,raw,11,distance,cosine,0.45599994494372303,0.11016043936156637,0.5577777777777778,0.7945454545454546,0.18571428571428567
119,embedkit_sup,11,distance,cosine,0.45328438920316727,0.0948922446002509,0.555,0.7954545454545453,0.17714285714285707
87,embedkit_unsup,11,distance,cosine,0.45293111284989096,0.0948523640580683,0.5544444444444444,0.7945454545454544,0.17714285714285707
73,embedkit_unsup,5,uniform,cosine,0.4527173444926445,0.11634193893115158,0.535,0.7400000000000001,0.21285714285714277
72,embedkit_unsup,5,uniform,euclidean,0.4527173444926445,0.11634193893115158,0.535,0.7400000000000001,0.21285714285714277
27,raw,15,distance,cosine,0.4525554772286406,0.09383810625875756,0.575,0.8490909090909089,0.14428571428571424
105,embedkit_sup,5,uniform,cosine,0.4514082535835536,0.11606818144438848,0.5338888888888889,0.7390909090909092,0.21142857142857135
104,embedkit_sup,5,uniform,euclidean,0.4514082535835536,0.11606818144438848,0.5338888888888889,0.7390909090909092,0.21142857142857135
74,embedkit_unsup,5,distance,euclidean,0.4502760271516296,0.11457240864321064,0.52,0.7000000000000002,0.23714285714285707
7,raw,3,distance,cosine,0.44975920027415534,0.10350107162582793,0.5422222222222222,0.7654545454545456,0.19142857142857142
10,raw,5,distance,euclidean,0.44941112915625653,0.11279083354494987,0.5316666666666666,0.7372727272727272,0.20857142857142855
106,embedkit_sup,5,distance,euclidean,0.44938511806072057,0.11452866857355659,0.5194444444444445,0.7000000000000002,0.23571428571428565
8,raw,5,uniform,euclidean,0.4478251664876852,0.10479741366422621,0.5388888888888889,0.76,0.1914285714285714
91,embedkit_unsup,15,distance,cosine,0.4477431686448928,0.08865395455709202,0.5744444444444444,0.8527272727272728,0.13714285714285712
63,pca,21,distance,cosine,0.44757228590186005,0.09602685871193979,0.5688888888888889,0.8381818181818181,0.14571428571428569
123,embedkit_sup,15,distance,cosine,0.4474271811840777,0.08884079486061107,0.5755555555555556,0.8554545454545455,0.1357142857142857
56,pca,15,uniform,euclidean,0.44485869564385294,0.0969415531320766,0.5661111111111112,0.8336363636363636,0.14571428571428569
25,raw,15,uniform,cosine,0.44353182794494633,0.09223214400469221,0.5705555555555556,0.8490909090909089,0.13285714285714284
26,raw,15,distance,euclidean,0.44244548812858553,0.09493122117618441,0.5627777777777778,0.8299999999999998,0.14285714285714282
80,embedkit_unsup,9,uniform,euclidean,0.4374557452486988,0.09416029026819364,0.535,0.7672727272727273,0.16999999999999996
81,embedkit_unsup,9,uniform,cosine,0.4374557452486988,0.09416029026819364,0.535,0.7672727272727273,0.16999999999999996
113,embedkit_sup,9,uniform,cosine,0.43740899200194555,0.09417229834445918,0.5355555555555555,0.7690909090909092,0.1685714285714285
112,embedkit_sup,9,uniform,euclidean,0.43740899200194555,0.09417229834445918,0.5355555555555555,0.7690909090909092,0.1685714285714285
114,embedkit_sup,9,distance,euclidean,0.43735910120614013,0.09847881047015015,0.5333333333333333,0.7618181818181818,0.17428571428571424
62,pca,21,distance,euclidean,0.437219864390704,0.09026403036454299,0.5822222222222222,0.8818181818181817,0.1114285714285714
82,embedkit_unsup,9,distance,euclidean,0.43705340690044586,0.09849847997080727,0.5322222222222223,0.7590909090909093,0.17571428571428566
115,embedkit_sup,9,distance,cosine,0.43623287422638996,0.10279464999278094,0.5316666666666667,0.7590909090909093,0.17428571428571424
57,pca,15,uniform,cosine,0.4359816135749419,0.08737945567464327,0.5583333333333333,0.8236363636363636,0.14142857142857143
83,embedkit_unsup,9,distance,cosine,0.4359271799206956,0.10281014516930152,0.5305555555555557,0.7563636363636363,0.17571428571428566
75,embedkit_unsup,5,distance,cosine,0.4351740667533038,0.1141356867033631,0.5094444444444445,0.6981818181818182,0.2128571428571428
107,embedkit_sup,5,distance,cosine,0.43428315766239467,0.11397379143712881,0.508888888888889,0.6981818181818182,0.21142857142857138
24,raw,15,uniform,euclidean,0.433922962332709,0.09425753639138737,0.5605555555555555,0.8345454545454545,0.12999999999999998
28,raw,21,uniform,euclidean,0.4321899886082046,0.08695057815428665,0.5855555555555556,0.8927272727272727,0.10285714285714284
4,raw,3,uniform,euclidean,0.4315978374421403,0.1008371243543972,0.5116666666666667,0.7136363636363637,0.1942857142857142
31,raw,21,distance,cosine,0.43025894274529947,0.08114680139910631,0.5816666666666668,0.888181818181818,0.09999999999999998
30,raw,21,distance,euclidean,0.42639040705532466,0.08302926918910195,0.58,0.8872727272727272,0.09714285714285714
78,embedkit_unsup,7,distance,euclidean,0.42555808086216634,0.11048279127062112,0.5094444444444445,0.7145454545454545,0.1871428571428571
