cfg_id,k,weights,metric,mean_macro_f1,std_macro_f1,mean_acc,mean_sens,mean_spec
0,1,uniform,euclidean,0.6116587736585515,0.11440367647815654,0.6444444444444444,0.7436363636363638,0.4885714285714285
3,1,distance,euclidean,0.6116587736585515,0.11440367647815654,0.6444444444444444,0.7436363636363638,0.4885714285714285
6,3,uniform,euclidean,0.6110552820796833,0.10081877666618627,0.6705555555555556,0.8500000000000001,0.38857142857142857
9,3,distance,euclidean,0.6025897822530143,0.10374312045027866,0.6572222222222223,0.8236363636363637,0.3957142857142857
4,1,distance,manhattan,0.5993312056479239,0.11131149173582452,0.6377777777777779,0.7518181818181822,0.45857142857142863
1,1,uniform,manhattan,0.5993312056479239,0.11131149173582452,0.6377777777777779,0.7518181818181822,0.45857142857142863
21,7,distance,euclidean,0.5916954665579852,0.11159389408894904,0.6700000000000002,0.8899999999999999,0.32428571428571423
8,3,uniform,cosine,0.5891412962377731,0.09611267304013936,0.6544444444444446,0.8445454545454544,0.3557142857142857
7,3,uniform,manhattan,0.5885576422106407,0.10219757171334791,0.6566666666666668,0.8536363636363636,0.34714285714285714
22,7,distance,manhattan,0.5885423211526659,0.1135006778336031,0.6655555555555557,0.8799999999999999,0.32857142857142846
15,5,distance,euclidean,0.5850060689228984,0.1020931760530177,0.6561111111111113,0.8554545454545455,0.34285714285714286
10,3,distance,manhattan,0.5800693507923653,0.10360024631019231,0.6416666666666667,0.8218181818181818,0.3585714285714287
11,3,distance,cosine,0.5799885164754731,0.09987416419875786,0.635,0.7981818181818183,0.37857142857142856
16,5,distance,manhattan,0.5797061453905545,0.10552113581306496,0.6544444444444446,0.8618181818181817,0.3285714285714285
12,5,uniform,euclidean,0.5789852094419939,0.10801836038471974,0.6544444444444446,0.8627272727272727,0.32714285714285707
19,7,uniform,manhattan,0.578448836806483,0.11419009335806139,0.6711111111111113,0.9154545454545452,0.28714285714285703
17,5,distance,cosine,0.577675779695345,0.10530131405611058,0.6416666666666667,0.8263636363636363,0.35142857142857137
13,5,uniform,manhattan,0.5750813801751583,0.09917781381332366,0.6572222222222224,0.8799999999999999,0.30714285714285705
23,7,distance,cosine,0.5749801663714708,0.10686751015104803,0.6466666666666667,0.8490909090909089,0.32857142857142846
14,5,uniform,cosine,0.5725160227855881,0.11277842867505618,0.6477777777777779,0.8545454545454547,0.3228571428571428
29,9,distance,cosine,0.5698796831992484,0.1019290449401703,0.6461111111111112,0.8581818181818179,0.3128571428571428
18,7,uniform,euclidean,0.5686186041844212,0.11031312096844238,0.6644444444444446,0.9118181818181817,0.27571428571428563
5,1,distance,cosine,0.5674533391760171,0.10627453945742188,0.6083333333333334,0.730909090909091,0.41571428571428576
2,1,uniform,cosine,0.5674533391760171,0.10627453945742188,0.6083333333333334,0.730909090909091,0.41571428571428576
35,11,distance,cosine,0.5632675415566719,0.10036521280576696,0.6427777777777779,0.8618181818181817,0.2985714285714285
