split,component,explained_variance_ratio,cumulative
0,1,0.7976462366644157,0.7976462366644157
1,1,0.8099620454459662,0.8099620454459662
2,1,0.797266292488954,0.797266292488954
3,1,0.7928098004746801,0.7928098004746801
4,1,0.800394973641723,0.800394973641723
5,1,0.7799606472593171,0.7799606472593171
6,1,0.8076354107962063,0.8076354107962063
7,1,0.7845748865660916,0.7845748865660916
8,1,0.798484715514602,0.798484715514602
9,1,0.7964002814629795,0.7964002814629795
10,1,0.8048627097901929,0.8048627097901929
11,1,0.795776729112433,0.795776729112433
12,1,0.8108237073927024,0.8108237073927024
13,1,0.787164085360329,0.787164085360329
14,1,0.8052262766607107,0.8052262766607107
15,1,0.7913332480345128,0.7913332480345128
16,1,0.7945893827404337,0.7945893827404337
17,1,0.804952975176401,0.804952975176401
18,1,0.7933610007182881,0.7933610007182881
19,1,0.7929505720917168,0.7929505720917168
20,1,0.8112832129899363,0.8112832129899363
21,1,0.8224162063213686,0.8224162063213686
22,1,0.8041381176712418,0.8041381176712418
23,1,0.8047092774185239,0.8047092774185239
24,1,0.8044053699613073,0.8044053699613073
25,1,0.8175064707424113,0.8175064707424113
26,1,0.797575749363081,0.797575749363081
27,1,0.8007692734817339,0.8007692734817339
28,1,0.7944700444452649,0.7944700444452649
29,1,0.7912181357537786,0.7912181357537786
30,1,0.8009046272439255,0.8009046272439255
31,1,0.8121672499775151,0.8121672499775151
32,1,0.7965315737817009,0.7965315737817009
33,1,0.8025247640166678,0.8025247640166678
34,1,0.8122076508672136,0.8122076508672136
35,1,0.7922449530654674,0.7922449530654674
36,1,0.7813212535047044,0.7813212535047044
37,1,0.7962691531583617,0.7962691531583617
38,1,0.8270738242167205,0.8270738242167205
39,1,0.7879641689497324,0.7879641689497324
40,1,0.8021401727293588,0.8021401727293588
41,1,0.8052112086484423,0.8052112086484423
42,1,0.8198585505082322,0.8198585505082322
43,1,0.8009239147416318,0.8009239147416318
44,1,0.808721675042094,0.808721675042094
45,1,0.8105820597431445,0.8105820597431445
46,1,0.783037032450185,0.783037032450185
47,1,0.8026961261436956,0.8026961261436956
48,1,0.8217015815204323,0.8217015815204323
49,1,0.8056040674861692,0.8056040674861692
