split,component,explained_variance_ratio,cumulative
0,1,0.7976462366644157,0.7976462366644157
0,2,0.04697573187147775,0.8446219685358934
0,3,0.03278501696742869,0.8774069855033222
0,4,0.022893483824685538,0.9003004693280078
0,5,0.016004002601624233,0.916304471929632
0,6,0.008951926595055726,0.9252563985246878
0,7,0.007863204579345067,0.9331196031040329
0,8,0.006868120218485699,0.9399877233225185
0,9,0.005181776988619967,0.9451695003111384
0,10,0.004570500801445914,0.9497400011125844
0,11,0.003881190859870832,0.9536211919724552
0,12,0.0035768093210352633,0.9571980012934904
0,13,0.003406218113371787,0.9606042194068622
0,14,0.003015011983435313,0.9636192313902976
0,15,0.0028294683756667407,0.9664486997659644
0,16,0.002598590204140334,0.9690472899701046
0,17,0.0023361484701711834,0.9713834384402757
0,18,0.001972697040795303,0.973356135481071
0,19,0.0019047056555781415,0.9752608411366491
0,20,0.001724529403633481,0.9769853705402826
0,21,0.0015551311994352415,0.9785405017397178
0,22,0.0013636364193539174,0.9799041381590717
0,23,0.0012802993565114414,0.9811844375155832
0,24,0.001158761792811015,0.9823431993083942
0,25,0.0010675774193757142,0.9834107767277699
0,26,0.0010224801831799331,0.9844332569109498
0,27,0.0009061049277212425,0.9853393618386711
0,28,0.000848880958660804,0.9861882427973319
0,29,0.0008150790728355786,0.9870033218701675
0,30,0.0007839199251052408,0.9877872417952728
0,31,0.0006870612259638229,0.9884743030212366
0,32,0.0006598570947805663,0.9891341601160172
0,33,0.0006221186967197438,0.989756278812737
0,34,0.0005896834420371105,0.9903459622547741
0,35,0.0005491905899975624,0.9908951528447717
0,36,0.0005432233454106676,0.9914383761901824
0,37,0.0004988167147979068,0.9919371929049803
0,38,0.00048223575114983604,0.9924194286561301
0,39,0.00044310824738039796,0.9928625369035105
0,40,0.00042221169371696953,0.9932847485972273
0,41,0.0004018468664951098,0.9936865954637224
0,42,0.0003913886214027501,0.9940779840851252
0,43,0.00037020741774651826,0.9944481915028717
0,44,0.00035291734077052525,0.9948011088436421
0,45,0.0003361431031373823,0.9951372519467795
0,46,0.00032649754244590826,0.9954637494892254
0,47,0.00031291659530233103,0.9957766660845278
0,48,0.0003077843480829366,0.9960844504326108
0,49,0.0002713256840361189,0.9963557761166469
0,50,0.0002645788530095002,0.9966203549696564
0,51,0.00025912621167413404,0.9968794811813305
0,52,0.0002527323122948714,0.9971322134936254
0,53,0.00023688940581102717,0.9973691028994364
0,54,0.00023505987293956964,0.997604162772376
0,55,0.00022029012375099173,0.997824452896127
0,56,0.0002054331091325821,0.9980298860052597
0,57,0.00020314772654630943,0.9982330337318059
0,58,0.0001903197592781586,0.9984233534910841
0,59,0.00018069972930473445,0.9986040532203889
0,60,0.00017928439939878327,0.9987833376197877
0,61,0.00016452435050777164,0.9989478619702954
0,62,0.00015857233760780662,0.9991064343079032
0,63,0.00015161172701276784,0.999258046034916
0,64,0.00014480882710676192,0.9994028548620226
0,65,0.0001338490792773896,0.9995367039413
0,66,0.00012970127811591227,0.999666405219416
0,67,0.0001169006741291154,0.999783305893545
0,68,0.00011203850966500669,0.99989534440321
0,69,0.00010465559678988553,0.9999999999999999
1,1,0.8099620454459662,0.8099620454459662
1,2,0.05487237871289067,0.8648344241588568
1,3,0.02649827421319135,0.8913326983720482
1,4,0.020189873109754217,0.9115225714818024
1,5,0.014222587265437467,0.9257451587472398
1,6,0.008210376993571397,0.9339555357408112
1,7,0.007189731212281971,0.9411452669530932
1,8,0.00576056933845069,0.9469058362915439
1,9,0.004383282009420252,0.9512891183009642
1,10,0.004106767633539294,0.9553958859345035
1,11,0.003377810908902807,0.9587736968434063
1,12,0.0032961227768699636,0.9620698196202763
1,13,0.003023530333986919,0.9650933499542632
1,14,0.002824497726401425,0.9679178476806647
1,15,0.0024929280554529584,0.9704107757361177
1,16,0.0021229208349859735,0.9725336965711036
1,17,0.001953880330586873,0.9744875769016904
1,18,0.0018765005081460085,0.9763640774098364
1,19,0.0014852421504918222,0.9778493195603283
1,20,0.0014612669919816601,0.97931058655231
1,21,0.001279476089124681,0.9805900626414347
1,22,0.001181109293740992,0.9817711719351757
1,23,0.001098363488325315,0.982869535423501
1,24,0.0010722666216860786,0.983941802045187
1,25,0.0010146359546847456,0.9849564379998718
1,26,0.0009387221566642262,0.985895160156536
1,27,0.0008502256508442551,0.9867453858073802
1,28,0.0007387687239531463,0.9874841545313334
1,29,0.0006856273168665383,0.9881697818481999
1,30,0.0006434061412657682,0.9888131879894657
1,31,0.0006161759555338416,0.9894293639449996
1,32,0.0006096130073739971,0.9900389769523736
1,33,0.0005883483504683696,0.990627325302842
1,34,0.0005367181426367598,0.9911640434454788
1,35,0.0005201954287669258,0.9916842388742457
1,36,0.000489476367699548,0.9921737152419453
1,37,0.0004248145748660926,0.9925985298168114
1,38,0.00041217725708656136,0.9930107070738979
1,39,0.00040767843710031983,0.9934183855109983
1,40,0.00038393997801485364,0.9938023254890129
1,41,0.00037224178952878153,0.9941745672785417
1,42,0.00036013629085834473,0.9945347035694
1,43,0.00033652463282627195,0.9948712282022263
1,44,0.0003327065747726153,0.9952039347769989
1,45,0.0003189737382928065,0.9955229085152917
1,46,0.0002999242742457896,0.9958228327895374
1,47,0.0002885470228744182,0.9961113798124118
1,48,0.00027244643302321573,0.9963838262454352
1,49,0.00026785476764825425,0.9966516810130834
1,50,0.0002582699056197848,0.9969099509187033
1,51,0.0002501030162702778,0.9971600539349735
1,52,0.0002244365855202516,0.9973844905204938
1,53,0.00021601926537137664,0.9976005097858652
1,54,0.00020709357626373225,0.9978076033621289
1,55,0.00019985591301226446,0.9980074592751412
1,56,0.00019569051810555633,0.9982031497932465
1,57,0.00019112979126667114,0.9983942795845132
1,58,0.0001656009509178432,0.9985598805354311
1,59,0.00016176190697269574,0.9987216424424038
1,60,0.0001543729155962613,0.9988760153580001
1,61,0.00014843711268971378,0.9990244524706898
1,62,0.0001444138008445861,0.9991688662715345
1,63,0.00013707915041774404,0.9993059454219522
1,64,0.00013222257913487816,0.9994381680010871
1,65,0.00012818993891254874,0.9995663579399996
1,66,0.00011585589923068633,0.9996822138392303
1,67,0.00011098981932144138,0.9997932036585517
1,68,0.00010738820268224971,0.999900591861234
1,69,9.94081387660872e-05,1.0000000000000002
2,1,0.797266292488954,0.797266292488954
2,2,0.04889228371961814,0.8461585762085722
2,3,0.036250222087575786,0.8824087982961479
2,4,0.021758906904490945,0.9041677052006388
2,5,0.013798721351062885,0.9179664265517017
2,6,0.008599706485929413,0.9265661330376311
2,7,0.007534723167069242,0.9341008562047004
2,8,0.006369537394008637,0.9404703935987091
2,9,0.0056241658342959895,0.9460945594330051
2,10,0.004697975855030705,0.9507925352880359
2,11,0.004079579242990766,0.9548721145310266
2,12,0.0037117815003115742,0.9585838960313382
2,13,0.0034949999818156127,0.9620788960131538
2,14,0.002897323679612076,0.9649762196927658
2,15,0.0026870882164215792,0.9676633079091874
2,16,0.002254087587770004,0.9699173954969573
2,17,0.0021085515322121864,0.9720259470291696
2,18,0.001983840696140255,0.9740097877253098
2,19,0.0017174338936550594,0.9757272216189649
2,20,0.0015832727616965547,0.9773104943806614
2,21,0.0014410782703517628,0.9787515726510132
2,22,0.0013710339065495173,0.9801226065575627
2,23,0.001282478861148054,0.9814050854187107
2,24,0.001135149032653941,0.9825402344513647
2,25,0.0010843093808272856,0.983624543832192
2,26,0.0009822899838642057,0.9846068338160562
2,27,0.0009127701163891918,0.9855196039324454
2,28,0.0008494349059582725,0.9863690388384037
2,29,0.0007970807344792284,0.9871661195728829
2,30,0.0007381857824120436,0.9879043053552949
2,31,0.0007000335722406518,0.9886043389275356
2,32,0.0006655139893578934,0.9892698529168935
2,33,0.0006290009960178545,0.9898988539129113
2,34,0.0006030217882757375,0.9905018757011871
2,35,0.0005421592549849256,0.991044034956172
2,36,0.000521582932442084,0.9915656178886141
2,37,0.00048763885363420833,0.9920532567422483
2,38,0.0004437112692272858,0.9924969680114756
2,39,0.0004250044838671681,0.9929219724953428
2,40,0.0004099772319163755,0.9933319497272591
2,41,0.00040075350738383216,0.9937327032346429
2,42,0.00039392412106945744,0.9941266273557123
2,43,0.00036573597774074113,0.994492363333453
2,44,0.0003495649321568681,0.9948419282656099
2,45,0.00032763509254717603,0.9951695633581571
2,46,0.0003122595090477132,0.9954818228672048
2,47,0.00030405854800768617,0.9957858814152124
2,48,0.0002943429489964151,0.996080224364209
2,49,0.0002802687746974636,0.9963604931389064
2,50,0.00027638533201040726,0.9966368784709168
2,51,0.0002569666484418484,0.9968938451193586
2,52,0.0002464226955317422,0.9971402678148904
2,53,0.00023994187358216564,0.9973802096884725
2,54,0.0002235498192475292,0.9976037595077201
2,55,0.00022140065717132234,0.9978251601648914
2,56,0.0002072319946474791,0.9980323921595389
2,57,0.00020083119740256446,0.9982332233569414
2,58,0.00019812106921040403,0.9984313444261518
2,59,0.00018439847399479784,0.9986157429001465
2,60,0.00018091233899132487,0.9987966552391379
2,61,0.00017592017595053315,0.9989725754150884
2,62,0.0001572838643212026,0.9991298592794097
2,63,0.00015320932563830833,0.999283068605048
2,64,0.00013863115195789379,0.9994216997570059
2,65,0.00013160868542368397,0.9995533084424296
2,66,0.0001226720386427892,0.9996759804810724
2,67,0.0001140184898203914,0.9997899989708928
2,68,0.00010763763476342711,0.9998976366056562
2,69,0.00010236339434372474,1.0
3,1,0.7928098004746801,0.7928098004746801
3,2,0.054419406454591104,0.8472292069292712
3,3,0.033484038715799275,0.8807132456450705
3,4,0.021090756950000934,0.9018040025950714
3,5,0.01538239849588129,0.9171864010909527
3,6,0.008728904568633235,0.925915305659586
3,7,0.007422747081879813,0.9333380527414659
3,8,0.006807815838565394,0.9401458685800311
3,9,0.005453599264474589,0.9455994678445058
3,10,0.004495449874996611,0.9500949177195024
3,11,0.004165386740194106,0.9542603044596965
3,12,0.004100256464888188,0.9583605609245847
3,13,0.0035074602975052977,0.9618680212220899
3,14,0.003116358924422776,0.9649843801465127
3,15,0.0026972050958255856,0.9676815852423383
3,16,0.0022181699385547056,0.969899755180893
3,17,0.0021635980531215394,0.9720633532340145
3,18,0.001971296918917781,0.9740346501529322
3,19,0.0016846826821890184,0.9757193328351212
3,20,0.0015610061854072436,0.9772803390205285
3,21,0.001512512074884887,0.9787928510954134
3,22,0.0014328853931811548,0.9802257364885946
3,23,0.0012243576047237473,0.9814500940933183
3,24,0.0011059304608125747,0.9825560245541309
3,25,0.0010460973682605052,0.9836021219223915
3,26,0.0009952934724666573,0.9845974153948581
3,27,0.0009337552050226036,0.9855311705998807
3,28,0.0008026126456082797,0.986333783245489
3,29,0.0007656162537356205,0.9870993994992247
3,30,0.0007319159591317287,0.9878313154583563
3,31,0.0006610533918727606,0.9884923688502291
3,32,0.0006296844503765967,0.9891220533006058
3,33,0.0006056088798304605,0.9897276621804362
3,34,0.0005725915883931811,0.9903002537688294
3,35,0.0005395771906620464,0.9908398309594914
3,36,0.000524857502439402,0.9913646884619307
3,37,0.0005124434531570033,0.9918771319150878
3,38,0.0004928031076818448,0.9923699350227696
3,39,0.00045103950123683527,0.9928209745240064
3,40,0.0004276320748571286,0.9932486065988637
3,41,0.00041153552329563657,0.9936601421221594
3,42,0.00039674082988127907,0.9940568829520406
3,43,0.00038379721092956907,0.9944406801629702
3,44,0.00037187245800312466,0.9948125526209732
3,45,0.0003479175673502796,0.9951604701883235
3,46,0.00033587450130717465,0.9954963446896307
3,47,0.00033256803690731097,0.995828912726538
3,48,0.00030484750204233486,0.9961337602285802
3,49,0.00027460824046650096,0.9964083684690468
3,50,0.0002630098131842441,0.9966713782822311
3,51,0.0002569470610786731,0.9969283253433098
3,52,0.00024285674837444722,0.9971711820916842
3,53,0.00023619779385194347,0.9974073798855362
3,54,0.00022755492580862435,0.9976349348113448
3,55,0.00021685465687943905,0.9978517894682243
3,56,0.00020260917957224116,0.9980543986477965
3,57,0.00019986202821570766,0.9982542606760123
3,58,0.00019128320103933193,0.9984455438770516
3,59,0.0001778658772490269,0.9986234097543006
3,60,0.00016895666051525648,0.998792366414816
3,61,0.00016615459366904064,0.998958521008485
3,62,0.00016085111056488743,0.9991193721190499
3,63,0.00015787348643709546,0.999277245605487
3,64,0.00014118407515458282,0.9994184296806415
3,65,0.00013762151587791275,0.9995560511965195
3,66,0.00012854357750528383,0.9996845947740247
3,67,0.000112267876278513,0.9997968626503032
3,68,0.00010846650566814906,0.9999053291559714
3,69,9.467084402899848e-05,1.0000000000000004
4,1,0.800394973641723,0.800394973641723
4,2,0.05156292491436813,0.851957898556091
4,3,0.029449750694288374,0.8814076492503794
4,4,0.02106719976684708,0.9024748490172265
4,5,0.01555115675777456,0.918026005775001
4,6,0.009128326555189581,0.9271543323301906
4,7,0.0075836621042945605,0.9347379944344851
4,8,0.006816655134857506,0.9415546495693428
4,9,0.005403676058588961,0.9469583256279317
4,10,0.004609892073251017,0.9515682177011827
4,11,0.004293367663805998,0.9558615853649887
4,12,0.003792779845946297,0.959654365210935
4,13,0.0030885857201706553,0.9627429509311056
4,14,0.0028144953383553183,0.9655574462694609
4,15,0.0027203590711000073,0.968277805340561
4,16,0.002283069626744665,0.9705608749673056
4,17,0.0018840003832400595,0.9724448753505457
4,18,0.001832371850347087,0.9742772472008928
4,19,0.0017761167410518964,0.9760533639419448
4,20,0.0016402250186625935,0.9776935889606073
4,21,0.001440483741068576,0.9791340727016759
4,22,0.0013568252238936604,0.9804908979255695
4,23,0.0012103739328052539,0.9817012718583747
4,24,0.0010411424694327302,0.9827424143278075
4,25,0.000985848043617679,0.9837282623714252
4,26,0.000963652834726424,0.9846919152061516
4,27,0.0009491752785432887,0.985641090484695
4,28,0.0008798890988995004,0.9865209795835944
4,29,0.0007477155048768325,0.9872686950884713
4,30,0.000738248757880469,0.9880069438463517
4,31,0.0006519477439842304,0.9886588915903359
4,32,0.0006305777308193791,0.9892894693211554
4,33,0.0005983149059553996,0.9898877842271108
4,34,0.0005442645651870065,0.9904320487922977
4,35,0.0005228081803676108,0.9909548569726654
4,36,0.0005078057001981614,0.9914626626728635
4,37,0.0004957187471897428,0.9919583814200533
4,38,0.00047006206371361727,0.9924284434837669
4,39,0.0004354594499403588,0.9928639029337073
4,40,0.00042526371882064623,0.9932891666525279
4,41,0.00040806724436181385,0.9936972338968897
4,42,0.00038149082786524853,0.9940787247247549
4,43,0.00036039482343255954,0.9944391195481874
4,44,0.000356976409527402,0.9947960959577148
4,45,0.00034344380651312584,0.9951395397642279
4,46,0.000324954725660701,0.9954644944898886
4,47,0.00031046744093947746,0.995774961930828
4,48,0.0002987503189632695,0.9960737122497916
4,49,0.0002902016240404043,0.9963639138738319
4,50,0.00027466419581404785,0.996638578069646
4,51,0.000267391382047811,0.9969059694516937
4,52,0.0002458207894576624,0.9971517902411514
4,53,0.0002366824312696359,0.997388472672421
4,54,0.00022691472600042933,0.9976153873984215
4,55,0.00021481664282130126,0.9978302040412428
4,56,0.00021174394562777362,0.9980419479868705
4,57,0.00020639460017926286,0.9982483425870498
4,58,0.00019594365062995447,0.9984442862376797
4,59,0.00017533655952401417,0.9986196227972037
4,60,0.00017447849995126387,0.998794101297155
4,61,0.00016148681482565204,0.9989555881119806
4,62,0.0001560475684618072,0.9991116356804424
4,63,0.00015077884202702285,0.9992624145224694
4,64,0.00013905992430532805,0.9994014744467749
4,65,0.00013513425216656188,0.9995366086989415
4,66,0.00012979356082886545,0.9996664022597703
4,67,0.00011668270839553496,0.9997830849681658
4,68,0.00011229233690304003,0.9998953773050688
4,69,0.00010462269493089962,0.9999999999999998
5,1,0.7799606472593171,0.7799606472593171
5,2,0.05906337383276135,0.8390240210920785
5,3,0.0380280235732896,0.8770520446653681
5,4,0.023495438981447098,0.9005474836468152
