cfg_id,sigma_mult,encoder,y_train,mean_macro_f1,std_macro_f1,modality,rep
6,2.0,identity,False,0.6012704172638955,0.10742398136820434,tab,
7,2.0,identity,True,0.5992531306857394,0.10615773679843249,tab,
4,1.0,identity,False,0.5930306127045258,0.10348516732628475,tab,
5,1.0,identity,True,0.5899162552423423,0.0949064739955266,tab,
3,0.5,identity,True,0.5387886268321052,0.09758091977573696,tab,
2,0.5,identity,False,0.5377958350023568,0.10029146003146182,tab,
1,0.25,identity,True,0.5270042800333655,0.11389478329311375,tab,
0,0.25,identity,False,0.5134396709709302,0.10957556112050312,tab,
8,1.0,identity,False,0.5012309335591945,0.11209531942119008,mri,pca90_l2
7,0.5,identity,True,0.5011194424761559,0.11102537666504136,mri,pca90_l2
6,0.5,identity,False,0.4942946865959653,0.10815597513975676,mri,pca90_l2
9,1.0,identity,True,0.4913695096365274,0.11157119272662894,mri,pca90_l2
3,1.0,identity,True,0.47996713711650146,0.09381576530518997,mri,raw_l2
2,1.0,identity,False,0.47992517970415416,0.0943610005782711,mri,raw_l2
0,0.5,identity,False,0.475953820453336,0.11082914696733398,mri,raw_l2
10,2.0,identity,False,0.45734896500856015,0.09256803319985295,mri,pca90_l2
11,2.0,identity,True,0.4563512360869182,0.09192845324185632,mri,pca90_l2
1,0.5,identity,True,0.4532084042242612,0.10175609542881571,mri,raw_l2
4,2.0,identity,False,0.44238870828211163,0.08767930245453104,mri,raw_l2
5,2.0,identity,True,0.4407748720378406,0.08584143509406367,mri,raw_l2
12,0.5,identity,False,0.6065015413871485,0.1008810367048651,txt,"(None, 0.9)"
6,0.5,identity,False,0.6065015413871485,0.1008810367048651,txt,"(2000, 0.9)"
7,0.5,identity,True,0.6061418668426913,0.10300408129656984,txt,"(2000, 0.9)"
13,0.5,identity,True,0.6061418668426913,0.10300408129656984,txt,"(None, 0.9)"
1,0.5,identity,True,0.5922792532222068,0.10407329151600775,txt,"(500, 0.9)"
0,0.5,identity,False,0.588395373428282,0.10639772208366167,txt,"(500, 0.9)"
2,1.0,identity,False,0.4895200412614206,0.09543222021273179,txt,"(500, 0.9)"
3,1.0,identity,True,0.4895200412614206,0.09543222021273179,txt,"(500, 0.9)"
15,1.0,identity,True,0.4521149144597421,0.09104774877188057,txt,"(None, 0.9)"
14,1.0,identity,False,0.4521149144597421,0.09104774877188057,txt,"(None, 0.9)"
9,1.0,identity,True,0.4521149144597421,0.09104774877188057,txt,"(2000, 0.9)"
8,1.0,identity,False,0.4521149144597421,0.09104774877188057,txt,"(2000, 0.9)"
11,2.0,identity,True,0.37931034482758624,5.551115123125783e-17,txt,"(2000, 0.9)"
10,2.0,identity,False,0.37931034482758624,5.551115123125783e-17,txt,"(2000, 0.9)"
5,2.0,identity,True,0.37931034482758624,5.551115123125783e-17,txt,"(500, 0.9)"
4,2.0,identity,False,0.37931034482758624,5.551115123125783e-17,txt,"(500, 0.9)"
16,2.0,identity,False,0.37931034482758624,5.551115123125783e-17,txt,"(None, 0.9)"
17,2.0,identity,True,0.37931034482758624,5.551115123125783e-17,txt,"(None, 0.9)"
