w_tab,w_mri,w_text,macro_f1,accuracy,sensitivity,specificity,auroc,brier_score,tp,tn,fp,fn
0.05,0.5,0.45,0.6712643678160919,0.7045454545454546,0.8333333333333334,0.5,0.7333877995642701,0.2151352390963902,45,17,17,9
0.15000000000000002,0.5,0.35,0.6712643678160919,0.7045454545454546,0.8333333333333334,0.5,0.7333877995642701,0.20795010640935016,45,17,17,9
0.1,0.5,0.4,0.6712643678160919,0.7045454545454546,0.8333333333333334,0.5,0.7279411764705881,0.21058830492261968,45,17,17,9
0.45,0.0,0.55,0.6644880174291938,0.6818181818181818,0.7407407407407407,0.5882352941176471,0.744281045751634,0.21139470739205468,40,20,14,14
0.15000000000000002,0.25,0.6,0.6644880174291938,0.6818181818181818,0.7407407407407407,0.5882352941176471,0.7551742919389979,0.21631895105269824,40,20,14,14
0.15000000000000002,0.2,0.65,0.6644880174291938,0.6818181818181818,0.7407407407407407,0.5882352941176471,0.7540849673202614,0.22287908361773148,40,20,14,14
0.15000000000000002,0.15000000000000002,0.7,0.6644880174291938,0.6818181818181818,0.7407407407407407,0.5882352941176471,0.7486383442265795,0.23106800406155265,40,20,14,14
0.15000000000000002,0.1,0.75,0.6644880174291938,0.6818181818181818,0.7407407407407407,0.5882352941176471,0.7551742919389979,0.24088571238416162,40,20,14,14
0.15000000000000002,0.05,0.8,0.6644880174291938,0.6818181818181818,0.7407407407407407,0.5882352941176471,0.7464596949891068,0.25233220858555855,40,20,14,14
0.15000000000000002,0.0,0.85,0.6644880174291938,0.6818181818181818,0.7407407407407407,0.5882352941176471,0.744281045751634,0.2654074923948131,40,20,14,14
0.4,0.05,0.55,0.6644880174291938,0.6818181818181818,0.7407407407407407,0.5882352941176471,0.7431917211328976,0.20907197030261163,40,20,14,14
0.0,0.0,1.0,0.6644880174291938,0.6818181818181818,0.7407407407407407,0.5882352941176471,0.6644880174291938,0.3181818181818182,40,20,14,14
0.4,0.0,0.6,0.6644880174291938,0.6818181818181818,0.7407407407407407,0.5882352941176471,0.744281045751634,0.21562500033527615,40,20,14,14
0.45,0.05,0.5,0.6644880174291938,0.6818181818181818,0.7407407407407407,0.5882352941176471,0.7431917211328976,0.20614612784772904,40,20,14,14
0.1,0.35000000000000003,0.55,0.6644880174291938,0.6818181818181818,0.7407407407407407,0.5882352941176471,0.732843137254902,0.21463660037758847,40,20,14,14
0.25,0.0,0.75,0.6644880174291938,0.6818181818181818,0.7407407407407407,0.5882352941176471,0.744281045751634,0.23976828835227273,40,20,14,14
