cfg_id,sigma_mult,encoder,y_train,mean_macro_f1,std_macro_f1,modality,rep
14,2.0,linear,False,0.6043685801316236,0.10818774194090265,tab,
15,2.0,linear,True,0.6036684522804089,0.11216536505379902,tab,
12,2.0,identity,False,0.6012704172638955,0.10742398136820434,tab,
13,2.0,identity,True,0.5992531306857394,0.10615773679843249,tab,
8,1.0,identity,False,0.5930306127045258,0.10348516732628475,tab,
9,1.0,identity,True,0.5899162552423423,0.0949064739955266,tab,
10,1.0,linear,False,0.5539226832887253,0.11273796075832125,tab,
11,1.0,linear,True,0.5488779151743919,0.11538487134399839,tab,
5,0.5,identity,True,0.5387886268321052,0.09758091977573696,tab,
4,0.5,identity,False,0.5377958350023568,0.10029146003146182,tab,
7,0.5,linear,True,0.531856244252721,0.10630595265932591,tab,
1,0.25,identity,True,0.5270042800333655,0.11389478329311375,tab,
0,0.25,identity,False,0.5134396709709302,0.10957556112050312,tab,
6,0.5,linear,False,0.5123019595680016,0.11169801235559511,tab,
3,0.25,linear,True,0.4942405596957321,0.10140029773505971,tab,
2,0.25,linear,False,0.48804966673201305,0.11328941166163103,tab,
16,1.0,identity,False,0.5012309335591945,0.11209531942119008,mri,pca90_l2
13,0.5,identity,True,0.5011194424761559,0.11102537666504136,mri,pca90_l2
12,0.5,identity,False,0.4942946865959653,0.10815597513975676,mri,pca90_l2
17,1.0,identity,True,0.4913695096365274,0.11157119272662894,mri,pca90_l2
14,0.5,linear,False,0.4912092425431267,0.11294113195792455,mri,pca90_l2
10,2.0,linear,False,0.4891897998566695,0.11709413498362807,mri,raw_l2
11,2.0,linear,True,0.4811450293656479,0.11151150590038338,mri,raw_l2
5,1.0,identity,True,0.47996713711650146,0.09381576530518997,mri,raw_l2
4,1.0,identity,False,0.47992517970415416,0.0943610005782711,mri,raw_l2
23,2.0,linear,True,0.47900409081279316,0.11133985441983021,mri,pca90_l2
15,0.5,linear,True,0.4787204950041907,0.11427329447162646,mri,pca90_l2
0,0.5,identity,False,0.475953820453336,0.11082914696733398,mri,raw_l2
22,2.0,linear,False,0.475742535045806,0.11511637899373715,mri,pca90_l2
18,1.0,linear,False,0.4635267346084515,0.1124969895190696,mri,pca90_l2
19,1.0,linear,True,0.46188328686178,0.10988175763711784,mri,pca90_l2
20,2.0,identity,False,0.45734896500856015,0.09256803319985295,mri,pca90_l2
21,2.0,identity,True,0.4563512360869182,0.09192845324185632,mri,pca90_l2
1,0.5,identity,True,0.4532084042242612,0.10175609542881571,mri,raw_l2
8,2.0,identity,False,0.44238870828211163,0.08767930245453104,mri,raw_l2
9,2.0,identity,True,0.4407748720378406,0.08584143509406367,mri,raw_l2
7,1.0,linear,True,0.37931034482758624,5.551115123125783e-17,mri,raw_l2
6,1.0,linear,False,0.37931034482758624,5.551115123125783e-17,mri,raw_l2
3,0.5,linear,True,0.37931034482758624,5.551115123125783e-17,mri,raw_l2
2,0.5,linear,False,0.37931034482758624,5.551115123125783e-17,mri,raw_l2
12,0.5,identity,False,0.6065015413871485,0.1008810367048651,txt,"(2000, 0.9)"
24,0.5,identity,False,0.6065015413871485,0.1008810367048651,txt,"(None, 0.9)"
25,0.5,identity,True,0.6061418668426913,0.10300408129656984,txt,"(None, 0.9)"
13,0.5,identity,True,0.6061418668426913,0.10300408129656984,txt,"(2000, 0.9)"
1,0.5,identity,True,0.5922792532222068,0.10407329151600775,txt,"(500, 0.9)"
0,0.5,identity,False,0.588395373428282,0.10639772208366167,txt,"(500, 0.9)"
23,2.0,linear,True,0.5880369110776602,0.10175641323486247,txt,"(2000, 0.9)"
35,2.0,linear,True,0.5880369110776602,0.10175641323486247,txt,"(None, 0.9)"
22,2.0,linear,False,0.5869207960116192,0.10085540045421854,txt,"(2000, 0.9)"
34,2.0,linear,False,0.5869207960116192,0.10085540045421854,txt,"(None, 0.9)"
7,1.0,linear,True,0.5772000141596486,0.09817568555463227,txt,"(500, 0.9)"
6,1.0,linear,False,0.5728062733048498,0.10411872233446298,txt,"(500, 0.9)"
19,1.0,linear,True,0.5713354992381275,0.10929307386285474,txt,"(2000, 0.9)"
31,1.0,linear,True,0.5713354992381275,0.10929307386285474,txt,"(None, 0.9)"
11,2.0,linear,True,0.5705944529176222,0.10923028997792508,txt,"(500, 0.9)"
30,1.0,linear,False,0.568723299854899,0.1046448519800513,txt,"(None, 0.9)"
18,1.0,linear,False,0.568723299854899,0.1046448519800513,txt,"(2000, 0.9)"
10,2.0,linear,False,0.567663766903318,0.10984121356761765,txt,"(500, 0.9)"
3,0.5,linear,True,0.5472705115691655,0.11826492790817929,txt,"(500, 0.9)"
