cfg_id,sigma_mult,encoder,y_train,mean_macro_f1,std_macro_f1,modality,rep
2,0.5,linear,False,0.5469217395794256,0.11416455829563997,txt,"(500, 0.9)"
15,0.5,linear,True,0.5329642755420149,0.11123513392759504,txt,"(2000, 0.9)"
27,0.5,linear,True,0.5329642755420149,0.11123513392759504,txt,"(None, 0.9)"
26,0.5,linear,False,0.5270867705702812,0.1132644303041731,txt,"(None, 0.9)"
14,0.5,linear,False,0.5270867705702812,0.1132644303041731,txt,"(2000, 0.9)"
4,1.0,identity,False,0.4895200412614206,0.09543222021273179,txt,"(500, 0.9)"
5,1.0,identity,True,0.4895200412614206,0.09543222021273179,txt,"(500, 0.9)"
28,1.0,identity,False,0.4521149144597421,0.09104774877188057,txt,"(None, 0.9)"
29,1.0,identity,True,0.4521149144597421,0.09104774877188057,txt,"(None, 0.9)"
17,1.0,identity,True,0.4521149144597421,0.09104774877188057,txt,"(2000, 0.9)"
16,1.0,identity,False,0.4521149144597421,0.09104774877188057,txt,"(2000, 0.9)"
9,2.0,identity,True,0.37931034482758624,5.551115123125783e-17,txt,"(500, 0.9)"
21,2.0,identity,True,0.37931034482758624,5.551115123125783e-17,txt,"(2000, 0.9)"
20,2.0,identity,False,0.37931034482758624,5.551115123125783e-17,txt,"(2000, 0.9)"
32,2.0,identity,False,0.37931034482758624,5.551115123125783e-17,txt,"(None, 0.9)"
33,2.0,identity,True,0.37931034482758624,5.551115123125783e-17,txt,"(None, 0.9)"
8,2.0,identity,False,0.37931034482758624,5.551115123125783e-17,txt,"(500, 0.9)"
