w_tab,w_mri,w_text,macro_f1,accuracy,sensitivity,specificity,auroc,brier_score,tp,tn,fp,fn
0.15000000000000002,0.55,0.3,0.6812979863827322,0.7159090909090909,0.8518518518518519,0.5,0.7053376906318083,0.20926211774349213,46,17,17,8
0.1,0.55,0.35,0.6756597375792421,0.7159090909090909,0.8703703703703703,0.47058823529411764,0.7028867102396514,0.20909430086612701,47,16,18,7
0.30000000000000004,0.0,0.7,0.6712643678160919,0.7045454545454546,0.8333333333333334,0.5,0.7194989106753813,0.2015123814344406,45,17,17,9
0.1,0.6000000000000001,0.3,0.6656925774400935,0.7045454545454546,0.8518518518518519,0.47058823529411764,0.6928104575163399,0.2125532627105713,46,16,18,8
0.05,0.45,0.5,0.6656925774400935,0.7045454545454546,0.8518518518518519,0.47058823529411764,0.7124183006535948,0.20536965131759644,46,16,18,8
0.6000000000000001,0.4,0.0,0.6612972202423378,0.6931818181818182,0.8148148148148148,0.5,0.6418845315904138,0.23621684312820435,44,17,17,10
0.5,0.45,0.05,0.6612972202423378,0.6931818181818182,0.8148148148148148,0.5,0.6544117647058822,0.22626012563705444,44,17,17,10
0.35000000000000003,0.6000000000000001,0.05,0.6612972202423378,0.6931818181818182,0.8148148148148148,0.5,0.6587690631808278,0.2244323194026947,44,17,17,10
0.35000000000000003,0.55,0.1,0.6612972202423378,0.6931818181818182,0.8148148148148148,0.5,0.6685729847494554,0.21931813657283783,44,17,17,10
0.30000000000000004,0.65,0.05,0.6612972202423378,0.6931818181818182,0.8148148148148148,0.5,0.6535947712418301,0.22554947435855865,44,17,17,10
0.05,0.5,0.45,0.6595238095238095,0.7045454545454546,0.8703703703703703,0.4411764705882353,0.7072440087145969,0.20732392370700836,47,15,19,7
0.1,0.5,0.4,0.6595238095238095,0.7045454545454546,0.8703703703703703,0.4411764705882353,0.7186819172113289,0.20622219145298004,47,15,19,7
0.0,0.25,0.75,0.6595238095238095,0.7045454545454546,0.8703703703703703,0.4411764705882353,0.6982570806100218,0.20711632072925568,47,15,19,7
0.0,0.30000000000000004,0.7,0.6595238095238095,0.7045454545454546,0.8703703703703703,0.4411764705882353,0.6990740740740741,0.20639224350452423,47,15,19,7
0.30000000000000004,0.05,0.65,0.6558018252933507,0.6931818181818182,0.8333333333333334,0.47058823529411764,0.721677559912854,0.1998404562473297,45,16,18,9
0.05,0.0,0.95,0.6558018252933507,0.6931818181818182,0.8333333333333334,0.47058823529411764,0.7004357298474945,0.21418847143650055,45,16,18,9
0.0,0.0,1.0,0.6558018252933507,0.6931818181818182,0.8333333333333334,0.47058823529411764,0.6868191721132898,0.21953916549682617,45,16,18,9
0.0,0.05,0.95,0.6558018252933507,0.6931818181818182,0.8333333333333334,0.47058823529411764,0.6925381263616558,0.21588093042373657,45,16,18,9
0.4,0.6000000000000001,0.0,0.6558018252933507,0.6931818181818182,0.8333333333333334,0.47058823529411764,0.6451525054466231,0.22962357103824615,45,16,18,9
0.0,0.1,0.9,0.6558018252933507,0.6931818181818182,0.8333333333333334,0.47058823529411764,0.6936274509803921,0.21280954778194427,45,16,18,9
0.15000000000000002,0.45,0.4,0.652701882210079,0.7045454545454546,0.8888888888888888,0.4117647058823529,0.730119825708061,0.20344257354736328,48,14,20,6
0.55,0.35000000000000003,0.1,0.6513865308432372,0.6818181818181818,0.7962962962962963,0.5,0.6601307189542484,0.2245047688484192,43,17,17,11
0.1,0.65,0.25,0.6513865308432372,0.6818181818181818,0.7962962962962963,0.5,0.6789215686274509,0.21659904718399048,43,17,17,11
0.6000000000000001,0.35000000000000003,0.05,0.6513865308432372,0.6818181818181818,0.7962962962962963,0.5,0.6456971677559912,0.23179474472999573,43,17,17,11
0.65,0.35000000000000003,0.0,0.6513865308432372,0.6818181818181818,0.7962962962962963,0.5,0.6358932461873638,0.24002322554588318,43,17,17,11
0.2,0.45,0.35,0.6497125165855816,0.6931818181818182,0.8518518518518519,0.4411764705882353,0.7290305010893247,0.20388676226139069,46,15,19,8
0.15000000000000002,0.5,0.35,0.6497125165855816,0.6931818181818182,0.8518518518518519,0.4411764705882353,0.7222222222222222,0.20605893433094025,46,15,19,8
0.1,0.35000000000000003,0.55,0.6497125165855816,0.6931818181818182,0.8518518518518519,0.4411764705882353,0.724400871459695,0.20112675428390503,46,15,19,8
