representation,n_neighbors,weights,metric,mean_macro_f1,mean_accuracy,mean_sensitivity,mean_specificity
corr_0.9,7,uniform,cosine,0.454785756487668,0.5361111111111111,0.7381818181818183,0.2185714285714285
corr_0.9,7,distance,euclidean,0.44850264981940524,0.5305555555555556,0.7345454545454547,0.21
corr_0.9,7,distance,cosine,0.4573415713513539,0.5377777777777779,0.7381818181818183,0.22285714285714278
corr_0.9,9,uniform,euclidean,0.432085398713848,0.5166666666666666,0.7272727272727273,0.18571428571428567
corr_0.9,9,uniform,cosine,0.4366294231269869,0.5244444444444444,0.74,0.18571428571428567
corr_0.9,9,distance,euclidean,0.4280031940425129,0.5105555555555555,0.7172727272727273,0.18571428571428567
corr_0.9,9,distance,cosine,0.45739115566360816,0.5383333333333333,0.7463636363636365,0.21142857142857138
corr_0.9,11,uniform,euclidean,0.4389898141321318,0.5411111111111111,0.7799999999999998,0.16571428571428565
corr_0.9,11,uniform,cosine,0.4263642596405353,0.5361111111111111,0.7872727272727272,0.1414285714285714
corr_0.9,11,distance,euclidean,0.43126451833292295,0.5305555555555556,0.7636363636363636,0.16428571428571423
corr_0.9,11,distance,cosine,0.4309814797798681,0.5333333333333333,0.7736363636363635,0.1557142857142857
corr_0.9,15,uniform,euclidean,0.4366861927954882,0.5572222222222223,0.8236363636363636,0.13857142857142857
corr_0.9,15,uniform,cosine,0.40135233578265817,0.5533333333333333,0.8563636363636362,0.07714285714285714
corr_0.9,15,distance,euclidean,0.42804922856587024,0.5494444444444444,0.8154545454545453,0.13142857142857142
corr_0.9,15,distance,cosine,0.40601125021627277,0.5477777777777778,0.8390909090909092,0.08999999999999998
corr_0.9,21,uniform,euclidean,0.39941847705295985,0.5655555555555555,0.8872727272727272,0.06000000000000001
corr_0.9,21,uniform,cosine,0.4135925238512945,0.5877777777777778,0.9199999999999998,0.0657142857142857
corr_0.9,21,distance,euclidean,0.40519461046200184,0.5727777777777778,0.8963636363636363,0.06428571428571428
corr_0.9,21,distance,cosine,0.4147624965766646,0.583888888888889,0.91,0.07142857142857142
corr_0.95,1,uniform,euclidean,0.4933308664943239,0.5344444444444445,0.6545454545454547,0.34571428571428575
corr_0.95,1,uniform,cosine,0.49802837037042524,0.5572222222222222,0.7209090909090912,0.2999999999999999
corr_0.95,1,distance,euclidean,0.4933308664943239,0.5344444444444445,0.6545454545454547,0.34571428571428575
corr_0.95,1,distance,cosine,0.49802837037042524,0.5572222222222222,0.7209090909090912,0.2999999999999999
corr_0.95,3,uniform,euclidean,0.4536767064105536,0.5122222222222222,0.6727272727272726,0.25999999999999995
corr_0.95,3,uniform,cosine,0.49886441576239327,0.5661111111111111,0.749090909090909,0.2785714285714285
corr_0.95,3,distance,euclidean,0.4536767064105536,0.5122222222222222,0.6727272727272726,0.25999999999999995
corr_0.95,3,distance,cosine,0.4893354651638775,0.5588888888888888,0.7454545454545456,0.2657142857142857
corr_0.95,5,uniform,euclidean,0.4827191808996157,0.555,0.7436363636363637,0.25857142857142845
corr_0.95,5,uniform,cosine,0.4872723949297413,0.5538888888888889,0.7272727272727273,0.28142857142857136
corr_0.95,5,distance,euclidean,0.4801142279620541,0.5511111111111111,0.7372727272727272,0.25857142857142845
corr_0.95,5,distance,cosine,0.49463118183452026,0.5577777777777778,0.7263636363636364,0.2928571428571428
corr_0.95,7,uniform,euclidean,0.4679740433073655,0.5411111111111111,0.73,0.24428571428571424
corr_0.95,7,uniform,cosine,0.473392390111693,0.5461111111111111,0.7354545454545456,0.24857142857142847
corr_0.95,7,distance,euclidean,0.4657922844864762,0.5377777777777779,0.7245454545454547,0.24428571428571424
corr_0.95,7,distance,cosine,0.4809345557421644,0.5505555555555556,0.7345454545454547,0.26142857142857134
corr_0.95,9,uniform,euclidean,0.436586780932433,0.5144444444444445,0.7118181818181819,0.20428571428571424
corr_0.95,9,uniform,cosine,0.4478383696957161,0.5311111111111111,0.7381818181818183,0.20571428571428566
corr_0.95,9,distance,euclidean,0.4352173004129526,0.5122222222222222,0.7081818181818182,0.20428571428571424
corr_0.95,9,distance,cosine,0.4644079894340764,0.5433333333333334,0.7463636363636366,0.2242857142857142
corr_0.95,11,uniform,euclidean,0.4237165540303111,0.5266666666666666,0.7645454545454546,0.15285714285714283
corr_0.95,11,uniform,cosine,0.43305721292977656,0.5355555555555556,0.7754545454545455,0.15857142857142853
corr_0.95,11,distance,euclidean,0.42071789294904144,0.5222222222222223,0.7572727272727272,0.15285714285714283
corr_0.95,11,distance,cosine,0.4457385619211706,0.54,0.7681818181818183,0.18142857142857136
corr_0.95,15,uniform,euclidean,0.4165640048109703,0.5461111111111111,0.8209090909090909,0.11428571428571428
corr_0.95,15,uniform,cosine,0.41278925456519167,0.5572222222222222,0.8527272727272727,0.09285714285714285
corr_0.95,15,distance,euclidean,0.40754852729331886,0.5355555555555556,0.8063636363636363,0.10999999999999999
corr_0.95,15,distance,cosine,0.4107062512671958,0.5455555555555556,0.8290909090909091,0.09999999999999998
corr_0.95,21,uniform,euclidean,0.39067032323831424,0.5677777777777778,0.8981818181818181,0.04857142857142858
corr_0.95,21,uniform,cosine,0.39189074753055275,0.5738888888888889,0.9109090909090909,0.04428571428571429
corr_0.95,21,distance,euclidean,0.39262985242310594,0.568888888888889,0.8990909090909092,0.05
corr_0.95,21,distance,cosine,0.39089510383835724,0.5638888888888889,0.890909090909091,0.05
