protocol,label,precision,recall,f1,support
mccv_pooled,no,0.5917602996254682,0.4514285714285714,0.5121555915721232,350.0
mccv_pooled,yes,0.6966824644549763,0.8018181818181818,0.7455621301775148,550.0
mccv_pooled,macro avg,0.6442213820402223,0.6266233766233766,0.628858860874819,900.0
mccv_pooled,weighted avg,0.655879400354612,0.6655555555555556,0.6547929207198625,900.0
loo_pooled,no,0.5769230769230769,0.4411764705882353,0.5,34.0
loo_pooled,yes,0.6935483870967742,0.7962962962962963,0.7413793103448276,54.0
loo_pooled,macro avg,0.6352357320099256,0.6187363834422658,0.6206896551724138,88.0
loo_pooled,weighted avg,0.6484886081660275,0.6590909090909091,0.6481191222570533,88.0
