config_id,split_id,true_label,pred_label,count
euclidean_rigid_uniform_k1,28,1,1,9
euclidean_rigid_uniform_k1,29,0,0,5
euclidean_rigid_uniform_k1,29,0,1,2
euclidean_rigid_uniform_k1,29,1,0,3
euclidean_rigid_uniform_k1,29,1,1,8
euclidean_rigid_uniform_k1,30,0,0,3
euclidean_rigid_uniform_k1,30,0,1,4
euclidean_rigid_uniform_k1,30,1,0,3
euclidean_rigid_uniform_k1,30,1,1,8
euclidean_rigid_uniform_k1,31,0,0,2
euclidean_rigid_uniform_k1,31,0,1,5
euclidean_rigid_uniform_k1,31,1,0,2
euclidean_rigid_uniform_k1,31,1,1,9
euclidean_rigid_uniform_k1,32,0,0,6
euclidean_rigid_uniform_k1,32,0,1,1
euclidean_rigid_uniform_k1,32,1,0,5
euclidean_rigid_uniform_k1,32,1,1,6
euclidean_rigid_uniform_k1,33,0,0,2
euclidean_rigid_uniform_k1,33,0,1,5
euclidean_rigid_uniform_k1,33,1,0,6
euclidean_rigid_uniform_k1,33,1,1,5
euclidean_rigid_uniform_k1,34,0,0,4
euclidean_rigid_uniform_k1,34,0,1,3
euclidean_rigid_uniform_k1,34,1,0,1
euclidean_rigid_uniform_k1,34,1,1,10
euclidean_rigid_uniform_k1,35,0,0,2
euclidean_rigid_uniform_k1,35,0,1,5
euclidean_rigid_uniform_k1,35,1,0,7
euclidean_rigid_uniform_k1,35,1,1,4
euclidean_rigid_uniform_k1,36,0,0,5
euclidean_rigid_uniform_k1,36,0,1,2
euclidean_rigid_uniform_k1,36,1,0,3
euclidean_rigid_uniform_k1,36,1,1,8
euclidean_rigid_uniform_k1,37,0,0,3
euclidean_rigid_uniform_k1,37,0,1,4
euclidean_rigid_uniform_k1,37,1,0,2
euclidean_rigid_uniform_k1,37,1,1,9
euclidean_rigid_uniform_k1,38,0,0,2
euclidean_rigid_uniform_k1,38,0,1,5
euclidean_rigid_uniform_k1,38,1,0,3
euclidean_rigid_uniform_k1,38,1,1,8
euclidean_rigid_uniform_k1,39,0,0,6
euclidean_rigid_uniform_k1,39,0,1,1
euclidean_rigid_uniform_k1,39,1,0,7
euclidean_rigid_uniform_k1,39,1,1,4
euclidean_rigid_uniform_k1,40,0,0,2
euclidean_rigid_uniform_k1,40,0,1,5
euclidean_rigid_uniform_k1,40,1,0,4
euclidean_rigid_uniform_k1,40,1,1,7
euclidean_rigid_uniform_k1,41,0,0,4
euclidean_rigid_uniform_k1,41,0,1,3
euclidean_rigid_uniform_k1,41,1,0,4
euclidean_rigid_uniform_k1,41,1,1,7
euclidean_rigid_uniform_k1,42,0,0,1
euclidean_rigid_uniform_k1,42,0,1,6
euclidean_rigid_uniform_k1,42,1,0,3
euclidean_rigid_uniform_k1,42,1,1,8
euclidean_rigid_uniform_k1,43,0,0,3
euclidean_rigid_uniform_k1,43,0,1,4
euclidean_rigid_uniform_k1,43,1,0,1
euclidean_rigid_uniform_k1,43,1,1,10
euclidean_rigid_uniform_k1,44,0,0,2
euclidean_rigid_uniform_k1,44,0,1,5
euclidean_rigid_uniform_k1,44,1,0,3
euclidean_rigid_uniform_k1,44,1,1,8
euclidean_rigid_uniform_k1,45,0,0,5
euclidean_rigid_uniform_k1,45,0,1,2
euclidean_rigid_uniform_k1,45,1,0,4
euclidean_rigid_uniform_k1,45,1,1,7
euclidean_rigid_uniform_k1,46,0,0,3
euclidean_rigid_uniform_k1,46,0,1,4
euclidean_rigid_uniform_k1,46,1,0,2
euclidean_rigid_uniform_k1,46,1,1,9
euclidean_rigid_uniform_k1,47,0,0,3
euclidean_rigid_uniform_k1,47,0,1,4
euclidean_rigid_uniform_k1,47,1,0,4
euclidean_rigid_uniform_k1,47,1,1,7
euclidean_rigid_uniform_k1,48,0,0,2
euclidean_rigid_uniform_k1,48,0,1,5
euclidean_rigid_uniform_k1,48,1,0,2
euclidean_rigid_uniform_k1,48,1,1,9
euclidean_rigid_uniform_k1,49,0,0,3
euclidean_rigid_uniform_k1,49,0,1,4
euclidean_rigid_uniform_k1,49,1,0,7
euclidean_rigid_uniform_k1,49,1,1,4
euclidean_rigid_uniform_k3,0,0,0,3
euclidean_rigid_uniform_k3,0,0,1,4
euclidean_rigid_uniform_k3,0,1,0,4
euclidean_rigid_uniform_k3,0,1,1,7
euclidean_rigid_uniform_k3,1,0,0,4
euclidean_rigid_uniform_k3,1,0,1,3
euclidean_rigid_uniform_k3,1,1,0,3
euclidean_rigid_uniform_k3,1,1,1,8
euclidean_rigid_uniform_k3,2,0,0,2
euclidean_rigid_uniform_k3,2,0,1,5
euclidean_rigid_uniform_k3,2,1,0,6
euclidean_rigid_uniform_k3,2,1,1,5
euclidean_rigid_uniform_k3,3,0,0,4
euclidean_rigid_uniform_k3,3,0,1,3
euclidean_rigid_uniform_k3,3,1,0,3
euclidean_rigid_uniform_k3,3,1,1,8
euclidean_rigid_uniform_k3,4,0,0,1
euclidean_rigid_uniform_k3,4,0,1,6
euclidean_rigid_uniform_k3,4,1,0,3
euclidean_rigid_uniform_k3,4,1,1,8
euclidean_rigid_uniform_k3,5,0,0,5
euclidean_rigid_uniform_k3,5,0,1,2
euclidean_rigid_uniform_k3,5,1,0,2
euclidean_rigid_uniform_k3,5,1,1,9
euclidean_rigid_uniform_k3,6,0,0,2
euclidean_rigid_uniform_k3,6,0,1,5
euclidean_rigid_uniform_k3,6,1,0,1
euclidean_rigid_uniform_k3,6,1,1,10
euclidean_rigid_uniform_k3,7,0,0,4
euclidean_rigid_uniform_k3,7,0,1,3
euclidean_rigid_uniform_k3,7,1,0,5
euclidean_rigid_uniform_k3,7,1,1,6
euclidean_rigid_uniform_k3,8,0,0,2
euclidean_rigid_uniform_k3,8,0,1,5
euclidean_rigid_uniform_k3,8,1,0,4
euclidean_rigid_uniform_k3,8,1,1,7
