config_id,split_id,accuracy,balanced_accuracy,sensitivity,specificity,precision_yes,F1_yes,F1_no,Macro_F1,MCC,Brier,ROC_AUC,PR_AUC,tp,fp,tn,fn
euclidean_rigid_uniform_k1,0,0.6666666666666666,0.5974025974025974,0.9090909090909091,0.2857142857142857,0.6666666666666666,0.7692307692307693,0.4,0.5846153846153846,0.2548235957188128,0.3333333333333333,0.5974025974025974,0.6616161616161615,10,5,2,1
euclidean_rigid_uniform_k1,1,0.7222222222222222,0.7207792207792207,0.7272727272727273,0.7142857142857143,0.8,0.7619047619047619,0.6666666666666666,0.7142857142857142,0.4332001127219817,0.2777777777777778,0.7207792207792209,0.7484848484848485,8,2,5,3
euclidean_rigid_uniform_k1,2,0.5,0.461038961038961,0.6363636363636364,0.2857142857142857,0.5833333333333334,0.6086956521739131,0.3076923076923077,0.4581939799331104,-0.08058229640253803,0.5,0.461038961038961,0.5934343434343434,7,5,2,4
euclidean_rigid_uniform_k1,3,0.6666666666666666,0.6233766233766234,0.8181818181818182,0.42857142857142855,0.6923076923076923,0.75,0.5,0.625,0.26856632724128343,0.3333333333333333,0.6233766233766235,0.6775446775446775,9,4,3,2
euclidean_rigid_uniform_k1,4,0.5555555555555556,0.5064935064935066,0.7272727272727273,0.2857142857142857,0.6153846153846154,0.6666666666666666,0.3333333333333333,0.5,0.01413506985480439,0.4444444444444444,0.5064935064935066,0.6142191142191142,8,5,2,3
euclidean_rigid_uniform_k1,5,0.6111111111111112,0.551948051948052,0.8181818181818182,0.2857142857142857,0.6428571428571429,0.72,0.36363636363636365,0.5418181818181818,0.12182898077463453,0.3888888888888889,0.551948051948052,0.6370851370851371,9,5,2,2
euclidean_rigid_uniform_k1,6,0.8333333333333334,0.8116883116883117,0.9090909090909091,0.7142857142857143,0.8333333333333334,0.8695652173913043,0.7692307692307693,0.8193979933110368,0.6446583712203042,0.16666666666666666,0.8116883116883118,0.8131313131313131,10,2,5,1
euclidean_rigid_uniform_k1,7,0.4444444444444444,0.44155844155844154,0.45454545454545453,0.42857142857142855,0.5555555555555556,0.5,0.375,0.4375,-0.11396057645963795,0.5555555555555556,0.4415584415584416,0.5858585858585859,5,4,3,6
euclidean_rigid_uniform_k1,8,0.6111111111111112,0.551948051948052,0.8181818181818182,0.2857142857142857,0.6428571428571429,0.72,0.36363636363636365,0.5418181818181818,0.12182898077463453,0.3888888888888889,0.551948051948052,0.6370851370851371,9,5,2,2
euclidean_rigid_uniform_k1,9,0.7222222222222222,0.6428571428571428,1.0,0.2857142857142857,0.6875,0.8148148148148148,0.4444444444444444,0.6296296296296295,0.44320263021395917,0.2777777777777778,0.6428571428571428,0.6875,11,5,2,0
