cfg_id,sigma_mult,eps,encoder,x_train,y_train,mean_macro_f1,std_macro_f1,mean_acc,mean_sens,mean_spec
17,2.0,0.2,linear,False,True,0.5973208436088872,0.11839495380817262,0.6505555555555556,0.8063636363636364,0.4057142857142855
13,2.0,0.05,linear,False,True,0.5934266576820925,0.11859613711652994,0.6455555555555555,0.7990909090909091,0.4042857142857143
15,2.0,0.1,linear,False,True,0.5915022498976397,0.12085884707442505,0.6455555555555555,0.8027272727272728,0.39857142857142847
16,2.0,0.2,identity,False,True,0.5859420398074826,0.09764524030377743,0.6511111111111112,0.840909090909091,0.35285714285714287
12,2.0,0.05,identity,False,True,0.5856859752198963,0.09490486147748832,0.6516666666666667,0.8436363636363637,0.35
14,2.0,0.1,identity,False,True,0.5853436709862878,0.09984822544790788,0.6511111111111112,0.8418181818181819,0.35142857142857137
6,1.0,0.05,identity,False,True,0.5840803549134517,0.11206849863481537,0.6427777777777777,0.812727272727273,0.37571428571428567
10,1.0,0.2,identity,False,True,0.5811391398997471,0.11280450786560677,0.6394444444444445,0.8090909090909092,0.37285714285714294
8,1.0,0.1,identity,False,True,0.5806062605809982,0.11181044107494045,0.6405555555555555,0.8136363636363637,0.3685714285714286
0,0.5,0.05,identity,False,True,0.5570092954870717,0.11245440779732443,0.6122222222222222,0.7709090909090911,0.3628571428571428
2,0.5,0.1,identity,False,True,0.5569204357156033,0.11130148254671851,0.6127777777777778,0.771818181818182,0.3628571428571428
11,1.0,0.2,linear,False,True,0.5565433307576497,0.11625975082662203,0.6211111111111111,0.8,0.34
4,0.5,0.2,identity,False,True,0.5547198015895554,0.11069856772435169,0.61,0.7681818181818184,0.36142857142857143
7,1.0,0.05,linear,False,True,0.5513339638104277,0.11263258886294332,0.6183333333333332,0.8036363636363635,0.3271428571428572
9,1.0,0.1,linear,False,True,0.5490388228000693,0.11464518249972955,0.6166666666666667,0.7999999999999998,0.3285714285714285
5,0.5,0.2,linear,False,True,0.510097946739251,0.1018418635516467,0.5883333333333334,0.8,0.2557142857142856
1,0.5,0.05,linear,False,True,0.5090041098193272,0.10348547767847967,0.5894444444444445,0.8045454545454548,0.25142857142857133
3,0.5,0.1,linear,False,True,0.5054202790768008,0.10014073193922662,0.5855555555555555,0.7981818181818181,0.25142857142857133
