n_epochs,lr,sigma_mult,optimizer,weight_decay,macro_f1_mean,macro_f1_std
300,0.003,1.5,adamw,0.001,0.4308,0.0053
600,0.003,2.0,adam,0.0,0.4214,0.0116
600,0.003,2.0,adamw,0.0,0.4214,0.0116
600,0.003,2.0,adamw,0.0001,0.4214,0.0116
600,0.003,2.0,adamw,0.001,0.4214,0.0116
600,0.01,0.5,adam,0.0,0.4207,0.0464
600,0.01,0.5,adamw,0.0,0.4207,0.0464
600,0.01,0.5,adamw,0.0001,0.4207,0.0464
600,0.01,0.5,adamw,0.001,0.4207,0.0464
600,0.03,2.0,adam,0.0,0.4054,0.0173
600,0.03,2.0,adamw,0.0,0.4054,0.0173
600,0.03,2.0,adamw,0.0001,0.4054,0.0173
600,0.03,2.0,adamw,0.001,0.4054,0.0173
150,0.003,1.5,adam,0.0,0.4044,0.0254
150,0.003,1.5,adamw,0.0,0.4044,0.0254
150,0.003,1.5,adamw,0.0001,0.4044,0.0254
150,0.003,1.5,adamw,0.001,0.4044,0.0254
300,0.03,0.5,adam,0.0,0.4035,0.0161
300,0.03,0.5,adamw,0.0,0.4035,0.0161
300,0.03,0.5,adamw,0.0001,0.4035,0.0161
300,0.03,0.5,adamw,0.001,0.4035,0.0161
600,0.03,1.0,adam,0.0,0.4035,0.0161
600,0.03,1.0,adamw,0.0,0.4035,0.0161
600,0.03,1.0,adamw,0.0001,0.4035,0.0161
600,0.03,1.0,adamw,0.001,0.4035,0.0161
600,0.03,1.5,adam,0.0,0.4035,0.0161
600,0.03,1.5,adamw,0.0,0.4035,0.0161
600,0.03,1.5,adamw,0.0001,0.4035,0.0161
600,0.03,1.5,adamw,0.001,0.4035,0.0161
600,0.03,0.5,adam,0.0,0.3928,0.0087
600,0.03,0.5,adamw,0.0,0.3928,0.0087
600,0.03,0.5,adamw,0.0001,0.3928,0.0087
600,0.03,0.5,adamw,0.001,0.3928,0.0087
150,0.003,2.0,adam,0.0,0.381,0.0
150,0.003,2.0,adamw,0.0,0.381,0.0
150,0.003,2.0,adamw,0.0001,0.381,0.0
150,0.003,2.0,adamw,0.001,0.381,0.0
300,0.003,2.0,adam,0.0,0.3781,0.002
300,0.003,2.0,adamw,0.0,0.3781,0.002
300,0.003,2.0,adamw,0.0001,0.3781,0.002
300,0.003,2.0,adamw,0.001,0.3781,0.002
150,0.01,2.0,adam,0.0,0.3753,0.002
150,0.01,2.0,adamw,0.0,0.3753,0.002
150,0.01,2.0,adamw,0.0001,0.3753,0.002
150,0.01,2.0,adamw,0.001,0.3753,0.002
