cfg_id,sigma_mult,mean_macro_f1,std_macro_f1,mean_fitted_sigma,std_fitted_sigma,modality,rep
1,0.5,0.5671293958054828,0.11026180127483028,0.10978129021823406,0.005469287939607671,tab,
2,1.0,0.5590530213747605,0.10273203844448472,0.2207013699412346,0.011292516913079502,tab,
0,0.25,0.5230439998809563,0.10969999049172295,0.05604853704571724,0.00282989569932656,tab,
3,2.0,0.4923431046242891,0.09935575965933552,0.4523876604437828,0.02495908875026877,tab,
4,1.0,0.47692393413128054,0.10082898124403356,0.4183487471938133,0.01674381418845373,mri,pca90_l2
0,0.5,0.467885367654334,0.10230186573635427,0.1089791240543127,0.0013361415160893062,mri,raw_l2
3,0.5,0.46540132724372185,0.1072366725662614,0.20689402222633363,0.008264768832774296,mri,pca90_l2
1,1.0,0.4527549385175322,0.08948225314768059,0.19957626923918725,0.0021519516803017425,mri,raw_l2
5,2.0,0.39381575608299757,0.048123616051181727,0.8444612360000611,0.036384245660500025,mri,pca90_l2
2,2.0,0.3809598964254138,0.021828571359140306,0.4068485450744629,0.0056395434274148885,mri,raw_l2
3,0.5,0.5995229263240507,0.1067114866521189,0.546227251291275,0.0006459185432459573,txt,"(2000, 0.9)"
6,0.5,0.5995229263240507,0.1067114866521189,0.546227251291275,0.0006459185432459573,txt,"(None, 0.9)"
0,0.5,0.5845988958983712,0.1123877068061489,0.5384263294935226,0.0008294915545356805,txt,"(500, 0.9)"
1,1.0,0.37931034482758624,5.551115123125783e-17,1.038737097978592,0.0023317594996694227,txt,"(500, 0.9)"
2,2.0,0.37931034482758624,5.551115123125783e-17,2.2755338954925537,0.004861917613835716,txt,"(500, 0.9)"
4,1.0,0.37931034482758624,5.551115123125783e-17,1.059356563091278,0.0019199397463623119,txt,"(2000, 0.9)"
5,2.0,0.37931034482758624,5.551115123125783e-17,2.319863793849945,0.0040096611535252805,txt,"(2000, 0.9)"
7,1.0,0.37931034482758624,5.551115123125783e-17,1.059356563091278,0.0019199397463623119,txt,"(None, 0.9)"
8,2.0,0.37931034482758624,5.551115123125783e-17,2.319863793849945,0.0040096611535252805,txt,"(None, 0.9)"
